,11_SUR,18_DCM,18_SUR,22_SUR,23_DCM,25_DCM,25_SUR,30_DCM,31_SUR,32_DCM,32_SUR,33_SUR,34_DCM,34_SUR,36_DCM,36_SUR,37_OMZ,38_DCM,38_OMZ,38_SUR,39_DCM,39_OMZ,39_SUR,41_DCM,41_SUR,42_DCM,42_SUR,45_SUR,46_SUR,48_SUR,52_DCM,52_SUR,56_MES,56_SUR,58_DCM,62_SUR,64_DCM,64_MES,64_SUR,65_DCM,65_SUR,66_DCM,66_SUR,67_SUR,68_DCM,68_MES,68_SUR,70_MES,70_SUR,72_DCM,72_MES,72_SUR,76_DCM,76_MES,76_SUR,78_DCM,78_MES,78_SUR,82_DCM,82_SUR,84_SUR,85_DCM,85_MES,85_SUR,100_DCM,100_dDCM,100_SUR,102_DCM,102_MES,102_SUR,109_DCM,109_SUR,111_DCM,111_MES,111_SUR,122_DCM,122_MES,122_SUR,123_MIX,123_SUR,124_MIX,124_SUR,125_MIX,125_SUR,MSP114,137_DCM,137_MES,137_SUR,138_DCM,138_MES,138_SUR
VC_0978,0,0,0,0,0,0,0,0,0.337837385,0.899873303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843553363,0.44051404,6.26540156,0,0.359640317,0,0,3.743446654,0,5.743538291,7.409182377,7.467146921,0,0,0,0,0,0,0,0,0,0,0,0.492611357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869499652,0,0.829006353,0.241238452,0.718531277,0,0.965740825,0,0,0,0,0,0,0,0,0
VC_0981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10896375,2.211435056,0,0,0,0,0,0.506727599,0,0.348137268,3.570730331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405814711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067254175,0.744528455,1.293654341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0984,0,0.162764833,0,0,0,0,0,0,2.030253433,0,2.273424916,2.026103983,6.174118375,0.777968232,1.764882066,1.436208146,0,2.350228494,0,2.4850968,1.732391077,0,1.351099322,0.591696368,2.229550662,1.136620386,1.534037092,0,0,0,0,0,0,0,0,0.169443801,0.313642235,0,0.339571359,0.070281504,0.310891347,0.302008326,0.110778962,0,0.582147848,0,1.154057554,0,0.126121828,0,0.2363534,0.7968266,0,0,0,0.614069978,0,0.128769412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0985,0,0,0,2.72420413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.780171871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759315136,11.97326961,0,0.273294086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384458861,0,0,1.981614473,0,0,0,0,0,0,0,0,0,0,0,2.042993813,1.566096087,0,0,0,1.203455338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220456229,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.829178179,0,0,0.245001609,0,0,0,0,0,0.33200668,0.725000771,0,0,0,3.168967784,4.687046414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360430969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.720551631,0,0,0,32.64578029,0,0,0,0,0,0,0,0
VC_0991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130824267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.294514909,0.24378019,0,11.782065,2.724567704,1.092964949,1.925090356,0,0,0.244321796,0,4.31954767,0,0,0.325184647,0,0,1.536717727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
